song_id,title,artist,genre,prompt
16,Weeklybeats 2014 #1 - KORG M01D Jam,RoccoW,Electronic,"Album art evoking a bright, sunlit palette, quiet and restrained, an optimistic emotional cast, drifting, spacious motion, a pulse of synthetic color, hints of video game music, hints of soundtrack music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
17,NTD11,Skip,Electronic,"Album art evoking a bright, sunlit palette, a steady, grounded intensity, a wistful, introspective mood, measured, even movement, a pulse of synthetic color, hints of video game music, hints of cacophony. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
18,Easy,SPCZ,Electronic,"Album art evoking a bright, sunlit palette, bold, saturated energy, an edgy, minor-key tension, a fast, propulsive pace, cool, circuit-lit geometry, hints of drum and bass, electronic, machine-made texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
19,Evening Drum,Nihilore,Electronic,"Album art evoking crisp and shimmering light, soft-edged and understated, a shadowed emotional cast, rapid, energetic movement, a pulse of synthetic color, hints of electric piano, the ring of struck piano strings. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
20,The Cemetery,Sinqlogue,Electronic,"Album art evoking shrouded in shadow, measured and even in force, a somber, minor-key undertone, drifting, spacious motion, cool, circuit-lit geometry, hints of scary music, a wide, ambient wash. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
21,Golden,Little Glass Men,Electronic,"Album art evoking dim, low-lit tones, a powerful, driving intensity, an open, uplifted mood, a steady, walking pace, cool, circuit-lit geometry, string-driven texture, plucked string detail. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
22,ruby cactus,"I, Cactus",Electronic,"Album art evoking radiant and luminous, soft-edged and understated, an open, uplifted mood, drifting, spacious motion, cool, circuit-lit geometry, synthetic production, hints of video game music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
23,Herbie,Podington Bear,Electronic,"Album art evoking dim, low-lit tones, measured and even in force, an open, uplifted mood, rapid, energetic movement, cool, circuit-lit geometry, cold synthesizer tones, hints of drum machine. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
24,We Did It! (Fulfillment Tune),D SMILEZ,Electronic,"Album art evoking crisp and shimmering light, a hushed, delicate presence, an optimistic emotional cast, measured, even movement, cool, circuit-lit geometry, hints of afrobeat, hints of music of africa. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
25,Este som - parte2,Gilo,Electronic,"Album art evoking balanced, natural tones, a hushed, delicate presence, an open, uplifted mood, a steady, walking pace, a pulse of synthetic color, hints of background music, hints of soundtrack music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
26,Rörelse av Ljus,Bisamråtta,Experimental,"Album art evoking muted and murky hues, quiet and restrained, an optimistic emotional cast, measured, even movement, textures that resist a single shape, the grain of a real guitar, hints of effects unit. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
27,boys boys boys,Sabrina,Experimental,"Album art evoking a bright, sunlit palette, a steady, grounded intensity, a somber, minor-key undertone, measured, even movement, unpredictable, fractured forms, hints of singing, hints of rock and roll. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
28,"In Ages Past, The Myths And Legends Happened A Long Time Ago",Noggin,Experimental,"Album art evoking shrouded in shadow, a steady, grounded intensity, a shadowed emotional cast, a slow, unhurried pace, unpredictable, fractured forms, hints of rock music, the grain of a real guitar. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
29,Thank You Beyoncé,Leslie Keffer,Experimental,"Album art evoking sharp, glinting highlights, a hushed, delicate presence, a somber, minor-key undertone, drifting, spacious motion, textures that resist a single shape, hints of pump (liquid), hints of white noise. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
30,Schreien,Joerg Piringer,Experimental,"Album art evoking neither bright nor dark, a steady, grounded intensity, a somber, minor-key undertone, a fast, propulsive pace, textures that resist a single shape, hints of cacophony, hints of radio. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
31,Soft Beast,Teeth Mountain,Experimental,"Album art evoking an even, neutral palette, a hushed, delicate presence, an open, uplifted mood, urgent, driving motion, textures that resist a single shape, hints of organ, plucked string detail. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
32,resurrect dead on planet jupiter,Lucky Dragons,Experimental,"Album art evoking a bright, sunlit palette, quiet and restrained, a wistful, introspective mood, a steady, walking pace, textures that resist a single shape, hints of lullaby, synthetic production. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
33,Fear in the Dust Bowl,The Fucked Up Beat,Experimental,"Album art evoking muted and murky hues, a steady, grounded intensity, a somber, minor-key undertone, a steady, walking pace, unpredictable, fractured forms, hints of rain, hints of rain on surface. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
34,Hip Bee,Rene Kita,Experimental,"Album art evoking dim, low-lit tones, a powerful, driving intensity, an open, uplifted mood, a fast, propulsive pace, unpredictable, fractured forms, hints of beatboxing, hints of vocal music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
35,no title,Molestia Auricularum,Experimental,"Album art evoking balanced, natural tones, quiet and restrained, a shadowed emotional cast, languid, floating movement, unpredictable, fractured forms, hints of static, hints of white noise. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
36,party,File Under Toner,Experimental,"Album art evoking muted and murky hues, quiet and restrained, an open, uplifted mood, measured, even movement, textures that resist a single shape, hints of fireworks, hints of hum. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
37,"Press, Stir Up and Stretch With a Dotted Line",HighWay17,Experimental,"Album art evoking crisp and shimmering light, soft-edged and understated, an open, uplifted mood, a fast, propulsive pace, textures that resist a single shape, cold synthesizer tones, synthetic production. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
38,France-excerpt,FRANCE,Experimental,"Album art evoking balanced, natural tones, a powerful, driving intensity, a warm, major-key brightness, measured, even movement, textures that resist a single shape, hints of cacophony, hints of didgeridoo. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
39,Matter008,Nate Scheible,Experimental,"Album art evoking dim, low-lit tones, measured and even in force, a somber, minor-key undertone, urgent, driving motion, textures that resist a single shape, a wide, ambient wash, hints of organ. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
40,flekkefjord,Blear Moon,Experimental,"Album art evoking a dark, brooding palette, soft-edged and understated, a warm, major-key brightness, a fast, propulsive pace, unpredictable, fractured forms, the ring of struck piano strings. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
41,Western Fixings,Semyon,Experimental,"Album art evoking a bright, sunlit palette, a hushed, delicate presence, an open, uplifted mood, a slow, unhurried pace, unpredictable, fractured forms, electronic, machine-made texture, hints of techno. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
42,An Egg In The Piano Lost In The Box Of Nails,Zreen Toyz,Experimental,"Album art evoking a bright, sunlit palette, a hushed, delicate presence, a somber, minor-key undertone, urgent, driving motion, textures that resist a single shape, hints of vehicle, hints of car. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
43,Toy Guitar 6 (Exotica),Lezet,Experimental,"Album art evoking balanced, natural tones, quiet and restrained, a somber, minor-key undertone, rapid, energetic movement, textures that resist a single shape, hints of ukulele, hints of pizzicato. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
44,Ignoble Cleft (First Visit),Base Cleft,Experimental,"Album art evoking muted and murky hues, quiet and restrained, an open, uplifted mood, measured, even movement, textures that resist a single shape, hints of sonar, hints of rumble. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
45,Spacespagetti (stoleyourburgermix),Paza Rahm,Experimental,"Album art evoking radiant and luminous, measured and even in force, a wistful, introspective mood, languid, floating movement, textures that resist a single shape, electronic, machine-made texture, hints of dubstep. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
46,I love you (B-side),L.D.I.,Experimental,"Album art evoking dim, low-lit tones, a hushed, delicate presence, an optimistic emotional cast, drifting, spacious motion, unpredictable, fractured forms, hints of cacophony, synthetic, electronic texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
47,Good Night/ Sleep,Electric Mirrors,Experimental,"Album art evoking dim, low-lit tones, a hushed, delicate presence, a somber, minor-key undertone, languid, floating movement, unpredictable, fractured forms, diffuse, atmospheric texture, a deep gong resonance. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
48,Inner Mental Cage (Bitmap Remix),Controlled Insanity,Experimental,"Album art evoking a dark, brooding palette, a hushed, delicate presence, a shadowed emotional cast, measured, even movement, textures that resist a single shape, hints of aircraft engine, hints of fixed-wing aircraft, airplane. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
49,three lullabies 1,Eva-Maria Houben,Experimental,"Album art evoking muted and murky hues, quiet and restrained, a somber, minor-key undertone, languid, floating movement, unpredictable, fractured forms, the ring of struck piano strings, hints of keyboard (musical). Abstract, textural album art. No faces, no text, no literal band-photo imagery."
50,Worm Fortress,Ersatz,Experimental,"Album art evoking dim, low-lit tones, measured and even in force, a warm, major-key brightness, a slow, unhurried pace, textures that resist a single shape, string-driven texture, a deep, rounded low end. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
51,Phantasmagoric Sheeps Of The World,Julia K. Mars,Folk,"Album art evoking balanced, natural tones, forceful and dense, an open, uplifted mood, measured, even movement, an earthy, acoustic warmth, hints of rock and roll, hints of rock music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
52,Sunny Sea Walk,Jan Grünfeld,Folk,"Album art evoking neither bright nor dark, a steady, grounded intensity, a warm, major-key brightness, languid, floating movement, warm, handmade grain, string-driven texture, fine, articulated string texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
53,"This is Record, OK?",Big Blood,Folk,"Album art evoking a bright, sunlit palette, soft-edged and understated, a somber, minor-key undertone, measured, even movement, an earthy, acoustic warmth, hints of mantra, hints of vehicle. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
54,Psaltery Piece,Howie Mitchell,Folk,"Album art evoking shrouded in shadow, quiet and restrained, a shadowed emotional cast, drifting, spacious motion, warm, handmade grain, hints of keyboard (musical), resonant piano tones. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
55,19. Male Fantasy,Jonah Rapino,Folk,"Album art evoking dim, low-lit tones, quiet and restrained, a shadowed emotional cast, a fast, propulsive pace, an earthy, acoustic warmth, hints of mandolin, hints of ukulele. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
56,Hold Fast,Zachary Cale,Folk,"Album art evoking a dark, brooding palette, soft-edged and understated, a somber, minor-key undertone, a fast, propulsive pace, warm, handmade grain, string-driven texture, fine, articulated string texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
57,"Hey, Marie.",Zach Fleury,Folk,"Album art evoking dim, low-lit tones, forceful and dense, an open, uplifted mood, a slow, unhurried pace, warm, handmade grain, hints of happy music, hints of singing. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
58,Graceless Lady,Big Blood,Folk,"Album art evoking dim, low-lit tones, a steady, grounded intensity, an optimistic emotional cast, languid, floating movement, an earthy, acoustic warmth, hints of singing, hints of christian music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
59,John Henry,Foghorn Stringband,Folk,"Album art evoking an even, neutral palette, measured and even in force, a warm, major-key brightness, a steady, walking pace, warm, handmade grain, hints of bluegrass, a rootsy, twanging character. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
60,l arrivee,Titan,Folk,"Album art evoking dim, low-lit tones, measured and even in force, a wistful, introspective mood, drifting, spacious motion, an earthy, acoustic warmth, hints of siren, hints of police car (siren). Abstract, textural album art. No faces, no text, no literal band-photo imagery."
61,Night Without Sleep,David Mumford,Folk,"Album art evoking dim, low-lit tones, soft-edged and understated, a shadowed emotional cast, drifting, spacious motion, an earthy, acoustic warmth, a rootsy, twanging character, hints of independent music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
62,Life on Earth,Mary Caroline,Folk,"Album art evoking shrouded in shadow, a steady, grounded intensity, an optimistic emotional cast, a steady, walking pace, an earthy, acoustic warmth, a rootsy, twanging character, hints of christmas music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
63,Week One,Ben von Wildenhaus,Folk,"Album art evoking shrouded in shadow, soft-edged and understated, a wistful, introspective mood, measured, even movement, an earthy, acoustic warmth, the grain of a real guitar, hints of effects unit. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
64,Methylchloroisothiazolinone (No Vocals),Josh Woodward,Folk,"Album art evoking balanced, natural tones, a steady, grounded intensity, a wistful, introspective mood, rapid, energetic movement, an earthy, acoustic warmth, hints of grunge, hints of progressive rock. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
65,Dust Devils,Michael Chapman,Folk,"Album art evoking shrouded in shadow, measured and even in force, a somber, minor-key undertone, measured, even movement, warm, handmade grain, string-driven texture, fine, articulated string texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
66,I Don't Care,Mary Lorson,Folk,"Album art evoking balanced, natural tones, a hushed, delicate presence, a warm, major-key brightness, urgent, driving motion, warm, handmade grain, string-driven texture, hints of singing. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
67,Good Old Colony Days,Three Jolly Rogues,Folk,"Album art evoking muted and murky hues, a hushed, delicate presence, an open, uplifted mood, drifting, spacious motion, an earthy, acoustic warmth, hints of whistling, hints of flute. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
68,Steamengeene,My Bubba & Mi,Folk,"Album art evoking a dark, brooding palette, measured and even in force, an optimistic emotional cast, a steady, walking pace, warm, handmade grain, string-driven texture, hints of ukulele. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
69,una vez mas,Onda bidón,Folk,"Album art evoking an even, neutral palette, bold, saturated energy, a driving, minor-key intensity, a steady, walking pace, an earthy, acoustic warmth, hints of jingle, tinkle, hints of jingle bell. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
70,Source and the Sound,Laura Stevenson and the Cans,Folk,"Album art evoking an even, neutral palette, a steady, grounded intensity, an open, uplifted mood, drifting, spacious motion, warm, handmade grain, hints of singing, hints of female singing. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
71,River,Mary Lorson,Folk,"Album art evoking shrouded in shadow, soft-edged and understated, an optimistic emotional cast, a steady, walking pace, warm, handmade grain, string-driven texture, plucked string detail. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
72,'Preese 'Preese,Big Blood,Folk,"Album art evoking muted and murky hues, measured and even in force, a warm, major-key brightness, measured, even movement, warm, handmade grain, hints of singing, hints of psychedelic rock. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
73,Catalini,Ava Zandieh,Folk,"Album art evoking neither bright nor dark, quiet and restrained, a wistful, introspective mood, a slow, unhurried pace, warm, handmade grain, hints of music for children, hints of singing. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
74,Autumn Flow,Lior,Folk,"Album art evoking dim, low-lit tones, quiet and restrained, a warm, major-key brightness, a steady, walking pace, an earthy, acoustic warmth, warm, wooden acoustic tone, string-driven texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
75,Huna Cosm,MV + EE,Folk,"Album art evoking muted and murky hues, a hushed, delicate presence, a shadowed emotional cast, a fast, propulsive pace, an earthy, acoustic warmth, string-driven texture, hints of effects unit. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
76,Takeover,Kellee Maize,Hip-Hop,"Album art evoking radiant and luminous, bold, saturated energy, a warm, major-key brightness, a steady, walking pace, a raw, beat-driven energy, a rapped vocal drive, beat-driven, rhythmic drive. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
77,Sleep.,Black Ant,Hip-Hop,"Album art evoking shrouded in shadow, a powerful, driving intensity, an edgy, minor-key tension, a fast, propulsive pace, a raw, beat-driven energy, synthetic production, the pulse of real drums. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
78,Pulso (Por Stray),Pulso,Hip-Hop,"Album art evoking crisp and shimmering light, a steady, grounded intensity, a shadowed emotional cast, drifting, spacious motion, a raw, beat-driven energy, hints of lullaby. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
79,3 Rocks Blessed,Dälek,Hip-Hop,"Album art evoking radiant and luminous, a steady, grounded intensity, a wistful, introspective mood, urgent, driving motion, a raw, beat-driven energy, rhythmic, spoken cadence, beat-driven, rhythmic drive. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
80,AM Set Instrumental     {Both Nice},6th Sense,Hip-Hop,"Album art evoking crisp and shimmering light, a steady, grounded intensity, a wistful, introspective mood, drifting, spacious motion, bold, street-worn texture, synthetic production, hints of drum and bass. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
81,Bloc Party (Instrumental),Cheese N Pot-C,Hip-Hop,"Album art evoking a bright, sunlit palette, soft-edged and understated, a somber, minor-key undertone, drifting, spacious motion, bold, street-worn texture, electronic, machine-made texture, hints of dubstep. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
82,WitchCraft,BoyHoodBuchi,Hip-Hop,"Album art evoking crisp and shimmering light, bold, saturated energy, an open, uplifted mood, a steady, walking pace, bold, street-worn texture, hints of mantra, hints of chant. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
83,Clock,Sun Sunych,Hip-Hop,"Album art evoking a bright, sunlit palette, a powerful, driving intensity, an optimistic emotional cast, a fast, propulsive pace, bold, street-worn texture, rhythmic, spoken cadence, a hip-hop groove. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
84,Head Cold,Tha Silent Partner,Hip-Hop,"Album art evoking shrouded in shadow, a powerful, driving intensity, an edgy, minor-key tension, a fast, propulsive pace, bold, street-worn texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
85,"Lights, it was you and I",SK,Hip-Hop,"Album art evoking a bright, sunlit palette, measured and even in force, an open, uplifted mood, measured, even movement, a raw, beat-driven energy, a hip-hop groove, a rapped vocal drive. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
86,Mama Said Knock You L33T,The Hate Noise,Hip-Hop,"Album art evoking neither bright nor dark, bold, saturated energy, a warm, major-key brightness, a steady, walking pace, bold, street-worn texture, hints of reggae, hints of didgeridoo. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
87,Domino's,Alaclair Ensemble,Hip-Hop,"Album art evoking sharp, glinting highlights, a powerful, driving intensity, a driving, minor-key intensity, a slow, unhurried pace, a raw, beat-driven energy, a rapped vocal drive, a hip-hop groove. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
88,Let Me Spell You This (016 Tess Dis Champion Mixx),The Impossebulls,Hip-Hop,"Album art evoking crisp and shimmering light, measured and even in force, an open, uplifted mood, drifting, spacious motion, a raw, beat-driven energy, a rapped vocal drive, a hip-hop groove. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
89,raiz latina,Chicken Jones,Hip-Hop,"Album art evoking crisp and shimmering light, forceful and dense, a restless, high-voltage minor-key pulse, drifting, spacious motion, bold, street-worn texture, hints of funk, hints of soul music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
90,Ate Ten Instrumental     {Both Nice},6th Sense,Hip-Hop,"Album art evoking a bright, sunlit palette, measured and even in force, an open, uplifted mood, a slow, unhurried pace, bold, street-worn texture, string-driven texture, fine, articulated string texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
91,Press Rewind featuring Kyle Jason,C-Doc,Hip-Hop,"Album art evoking balanced, natural tones, forceful and dense, a restless, high-voltage minor-key pulse, drifting, spacious motion, a raw, beat-driven energy, hints of rhythm and blues, hints of soul music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
92,God's Radio Hell,The Impossebulls,Hip-Hop,"Album art evoking balanced, natural tones, forceful and dense, a restless, high-voltage minor-key pulse, languid, floating movement, a raw, beat-driven energy, rhythmic, spoken cadence, a hip-hop groove. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
93,Stronger Living Feat Wordsmith,CuzOH! Black Feat. Wordsmith,Hip-Hop,"Album art evoking crisp and shimmering light, bold, saturated energy, an edgy, minor-key tension, languid, floating movement, a raw, beat-driven energy, beat-driven, rhythmic drive, a rapped vocal drive. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
94,sollerod fascists,Coin Locker Kid,Hip-Hop,"Album art evoking neither bright nor dark, bold, saturated energy, an optimistic emotional cast, rapid, energetic movement, a raw, beat-driven energy, hints of angry music. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
95,GoodLookN,Tha Silent Partner,Hip-Hop,"Album art evoking an even, neutral palette, bold, saturated energy, an edgy, minor-key tension, urgent, driving motion, bold, street-worn texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
96,Vintage (Party Rock Instrumental),C-Doc,Hip-Hop,"Album art evoking balanced, natural tones, a powerful, driving intensity, a restless, high-voltage minor-key pulse, a slow, unhurried pace, bold, street-worn texture, hints of funk, percussive textures. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
97,Everpresent Future,Super Galactic Expansive,Hip-Hop,"Album art evoking neither bright nor dark, bold, saturated energy, an open, uplifted mood, a slow, unhurried pace, bold, street-worn texture, a rapped vocal drive, a hip-hop groove. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
98,Motivation,Lushlife,Hip-Hop,"Album art evoking balanced, natural tones, measured and even in force, an optimistic emotional cast, a slow, unhurried pace, bold, street-worn texture, hints of bird, hints of outside, rural or natural. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
99,Just a Feelin',Majik Most,Hip-Hop,"Album art evoking radiant and luminous, soft-edged and understated, a somber, minor-key undertone, drifting, spacious motion, a raw, beat-driven energy, a hip-hop groove, rhythmic, spoken cadence. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
100,Escape Tune,Height With Friends,Hip-Hop,"Album art evoking crisp and shimmering light, soft-edged and understated, a shadowed emotional cast, a fast, propulsive pace, bold, street-worn texture, hints of punk rock, hints of rock and roll. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
101,Demalion - Copper Halls,Blue Dot Sessions,Instrumental,"Album art evoking a dark, brooding palette, a steady, grounded intensity, a warm, major-key brightness, drifting, spacious motion, an open instrumental canvas, resonant piano tones, hints of keyboard (musical). Abstract, textural album art. No faces, no text, no literal band-photo imagery."
102,Dream Sequence With Percussion,Ryan Cullinane,Instrumental,"Album art evoking a dark, brooding palette, quiet and restrained, a shadowed emotional cast, a steady, walking pace, a spacious, wordless atmosphere, diffuse, atmospheric texture, synthetic production. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
103,"Remember (We Are Divine, We Are Immortal)",Ars Sonor,Instrumental,"Album art evoking dim, low-lit tones, soft-edged and understated, a wistful, introspective mood, measured, even movement, a spacious, wordless atmosphere, hints of scary music, diffuse, atmospheric texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
104,Rain 2,Vägskäl,Instrumental,"Album art evoking shrouded in shadow, soft-edged and understated, a wistful, introspective mood, languid, floating movement, a spacious, wordless atmosphere, hints of throbbing, hints of hum. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
105,This is based upon a true story,Plusplus,Instrumental,"Album art evoking dim, low-lit tones, quiet and restrained, an open, uplifted mood, urgent, driving motion, an open instrumental canvas, the grain of a real guitar, fine, articulated string texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
106,To Absent Friends,Squire Tuck,Instrumental,"Album art evoking dim, low-lit tones, a steady, grounded intensity, a warm, major-key brightness, a steady, walking pace, a spacious, wordless atmosphere, the grain of a real guitar, fine, articulated string texture. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
107,Alarm,Jahzzar,Instrumental,"Album art evoking neither bright nor dark, measured and even in force, an optimistic emotional cast, a fast, propulsive pace, a spacious, wordless atmosphere, hints of progressive rock, hints of heavy metal. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
108,Hots For Brooklyn Instrumental,Ryan Cullinane,Instrumental,"Album art evoking neither bright nor dark, bold, saturated energy, an edgy, minor-key tension, languid, floating movement, an open instrumental canvas, hints of electronica, hints of drum machine. Abstract, textural album art. No faces, no text, no literal band-photo imagery."
